city_ascii,city,country
Brighton,Brighton,United Kingdom
Toowoomba,Toowoomba,Australia
Tobruk,Tobruk,Libya
Sripur,Sripur,Bangladesh
Elizabeth,Elizabeth,United States
Raigarh,Raigarh,India
Sukrah,Sukrah,Tunisia
Pyay,Pyay,Myanmar
Tabarre,Tabarre,Haiti
Ruda Slaska,Ruda Slaska,Poland
Shuangcheng,Shuangcheng,China
Angono,Angono,Philippines
Cartago,Cartago,Colombia
Yelahanka,Yelahanka,India
Paco,Paco,Philippines
May Pen,May Pen,Jamaica
Racine,Racine,United States
Zafarwal,Zafarwal,Pakistan
Greeley,Greeley,United States
Andimeshk,Andimeshk,Iran
Ipetumodu,Ipetumodu,Nigeria
Conchali,Conchali,Chile
Agboville,Agboville,C̫te d'Ivoire
Djakotome,Djakotome,Benin
Santa Rita,Santa Rita,Brazil
Silopi,Silopi,Turkey
Daraga,Daraga,Philippines
Shahreza,Shahreza,Iran
Milagro,Milagro,Ecuador
Nakhon Ratchasima,Nakhon Ratchasima,Thailand
Zabol,Zabol,Iran
El Oued,El Oued,Algeria
Kent,Kent,United States
Ashqelon,Ashqelon,Israel
Mataro,Mataro,Spain
Ba Don,Ba Don,Vietnam
Stamford,Stamford,United States
Odessa,Odessa,United States
Teofilo Otoni,Teofilo Otoni,Brazil
Hagonoy,Hagonoy,Philippines
Laghouat,Laghouat,Algeria
Moron,Moron,Mongolia
Apatzingan de la Constitucion,Apatzingan de la Constitucion,Mexico
Aaley,Aaley,Lebanon
Famalicao,Famalicao,Portugal
Naga,Naga,Philippines
Trois-Rivieres,Trois-Rivieres,Canada
Bloomington,Bloomington,United States
Veszprem,Veszprem,Hungary
Zhangmu Touwei,Zhangmu Touwei,China
Miramar,Miramar,United States
Londuimbali,Londuimbali,Angola
Rehovot,Rehovot,Israel
Navoiy,Navoiy,Uzbekistan
Grand Junction,Grand Junction,United States
Sterling Heights,Sterling Heights,United States
Batu Gajah,Batu Gajah,Malaysia
Tando Allahyar,Tando Allahyar,Pakistan
Luuq,Luuq,Somalia
Idfu,Idfu,Egypt
Segou,Segou,Mali
Isahaya,Isahaya,Japan
Chikmagalur,Chikmagalur,India
Innsbruck,Innsbruck,Austria
Ome,Ome,Japan
Coral Springs,Coral Springs,United States
Marituba,Marituba,Brazil
Matagalpa,Matagalpa,Nicaragua
Jijel,Jijel,Algeria
Jaramana,Jaramana,Syria
Jandira,Jandira,Brazil
Ferfer,Ferfer,Ethiopia
Gondia,Gondia,India
Thandwe,Thandwe,Myanmar
Hassan,Hassan,India
Pitalito,Pitalito,Colombia
Bibemi,Bibemi,Cameroon
Abiko,Abiko,Japan
Talavera,Talavera,Philippines
Khorramshahr,Khorramshahr,Iran
Limoges,Limoges,France
Crato,Crato,Brazil
Ouargla,Ouargla,Algeria
Ar Rass,Ar Rass,Saudi Arabia
Sinop,Sinop,Brazil
San Carlos,San Carlos,Philippines
Kipushi,Kipushi,Congo (Kinshasa)
Lincoln,Lincoln,United Kingdom
Palwal,Palwal,India
Annecy,Annecy,France
Mogaung,Mogaung,Myanmar
Odemis,Odemis,Turkey
Kamez,Kamez,Albania
Zagnanado,Zagnanado,Benin
Cameta,Cameta,Brazil
Cubatao,Cubatao,Brazil
Ibarra,Ibarra,Ecuador
San Luis,San Luis,Guatemala
Palenque,Palenque,Mexico
Ferrara,Ferrara,Italy
San Juan,San Juan,Dominican Republic
Aware,Aware,Ethiopia
Karabuk,Karabuk,Turkey
Johnson City,Johnson City,United States
Saidpur,Saidpur,Bangladesh
Chicomba,Chicomba,Angola
Palghat,Palghat,India
Guelph,Guelph,Canada
Buea,Buea,Cameroon
Los Guayos,Los Guayos,Venezuela
Nanqiaotou,Nanqiaotou,China
Ji-Parana,Ji-Parana,Brazil
Batang,Batang,Indonesia
Guagua,Guagua,Philippines
Spanish Town,Spanish Town,Jamaica
Carrollton,Carrollton,United States
Chittandikavundanur,Chittandikavundanur,India
Surat Thani,Surat Thani,Thailand
Narita,Narita,Japan
Apopa,Apopa,El Salvador
Relizane,Relizane,Algeria
Furth,Furth,Germany
Lao Cai,Lao Cai,Vietnam
Antsiranana,Antsiranana,Madagascar
Lashio,Lashio,Myanmar
Silay,Silay,Philippines
Parepare,Parepare,Indonesia
City of Isabela,City of Isabela,Philippines
Thaton,Thaton,Myanmar
Zwolle,Zwolle,Netherlands
Nueva Concepcion,Nueva Concepcion,Guatemala
Marand,Marand,Iran
Kanchrapara,Kanchrapara,India
Quibdo,Quibdo,Colombia
Girardot,Girardot,Colombia
Pouso Alegre,Pouso Alegre,Brazil
Tychy,Tychy,Poland
Rustavi,Rustavi,Georgia
Bassila,Bassila,Benin
Midland,Midland,United States
Cholula de Rivadabia,Cholula de Rivadabia,Mexico
Trinidad,Trinidad,Bolivia
Onomichi,Onomichi,Japan
Kislovodsk,Kislovodsk,Russia
Kozan,Kozan,Turkey
Udon Thani,Udon Thani,Thailand
Jiroft,Jiroft,Iran
Batticaloa,Batticaloa,Sri Lanka
Chas,Chas,India
Yakima,Yakima,United States
Bongaigaon,Bongaigaon,India
Battambang,Battambang,Cambodia
Vitoria de Santo Antao,Vitoria de Santo Antao,Brazil
Mukerian,Mukerian,India
Malambo,Malambo,Colombia
Leiden,Leiden,Netherlands
Huejutla de Reyes,Huejutla de Reyes,Mexico
Zhaozhou,Zhaozhou,China
Lakewood,Lakewood,United States
Ergani,Ergani,Turkey
Lucheng,Lucheng,China
Hanumangarh,Hanumangarh,India
Cayirova,Cayirova,Turkey
Saida,Saida,Algeria
Taldyqorghan,Taldyqorghan,Kazakhstan
Nemby,Nemby,Paraguay
Cambridge,Cambridge,Canada
Fengcheng,Fengcheng,China
Ponnagyun,Ponnagyun,Myanmar
Mothihari,Mothihari,India
Serpukhov,Serpukhov,Russia
Mit Ghamr,Mit Ghamr,Egypt
Bellingham,Bellingham,United States
Yuba City,Yuba City,United States
Villa Alemana,Villa Alemana,Chile
Cienaga,Cienaga,Colombia
Tariba,Tariba,Venezuela
Kibaha,Kibaha,Tanzania
Chinguar,Chinguar,Angola
Vasteras,Vasteras,Sweden
Wurzburg,Wurzburg,Germany
Mansa,Mansa,Zambia
Alwal,Alwal,India
Songnim,Songnim,North Korea
Santo Tomas,Santo Tomas,Philippines
Koidu,Koidu,Sierra Leone
Hoshangabad,Hoshangabad,India
Opole,Opole,Poland
Novocheboksarsk,Novocheboksarsk,Russia
Araras,Araras,Brazil
Khanna,Khanna,India
Puno,Puno,Peru
Koforidua,Koforidua,Ghana
Ahmadpur East,Ahmadpur East,Pakistan
Rosario,Rosario,Philippines
Avrankou,Avrankou,Benin
Salto,Salto,Uruguay
Mosquera,Mosquera,Colombia
Misserete,Misserete,Benin
Vihari,Vihari,Pakistan
Amherst,Amherst,United States
Orebro,Orebro,Sweden
Temperley,Temperley,Argentina
Baigou,Baigou,China
Tukuyu,Tukuyu,Tanzania
Shiyan,Shiyan,China
Zoetermeer,Zoetermeer,Netherlands
Ban Bang Pu Mai,Ban Bang Pu Mai,Thailand
Iwakuni,Iwakuni,Japan
Sinnuris,Sinnuris,Egypt
Garut,Garut,Indonesia
Seto,Seto,Japan
Bataysk,Bataysk,Russia
Whitby,Whitby,Canada
Buon Ho,Buon Ho,Vietnam
Romford,Romford,United Kingdom
Pinsk,Pinsk,Belarus
Tumen,Tumen,China
Ramos Mejia,Ramos Mejia,Argentina
Rudnyy,Rudnyy,Kazakhstan
Guimba,Guimba,Philippines
Miramar,Miramar,Mexico
Nefteyugansk,Nefteyugansk,Russia
Nahiyat Khan Bani Sa`d,Nahiyat Khan Bani Sa`d,Iraq
La Granja,La Granja,Chile
South Lyon,South Lyon,United States
Al Hajar al Aswad,Al Hajar al Aswad,Syria
Guasdualito,Guasdualito,Venezuela
Domodedovo,Domodedovo,Russia
Ulm,Ulm,Germany
Darnah,Darnah,Libya
Santa Lucia Cotzumalguapa,Santa Lucia Cotzumalguapa,Guatemala
Nagda,Nagda,India
Kadoma,Kadoma,Japan
Salmas,Salmas,Iran
Santa Clara,Santa Clara,United States
St. George,St. George,United States
Allada,Allada,Benin
Jazan,Jazan,Saudi Arabia
Marica,Marica,Brazil
Dessalines,Dessalines,Haiti
Kaspiysk,Kaspiysk,Russia
Heilbronn,Heilbronn,Germany
Anderlecht,Anderlecht,Belgium
Fort Smith,Fort Smith,United States
Neftekamsk,Neftekamsk,Russia
Omiyacho,Omiyacho,Japan
San Ignacio,San Ignacio,Peru
Bajos de Haina,Bajos de Haina,Dominican Republic
Bam,Bam,Iran
High Wycombe,High Wycombe,United Kingdom
Monza,Monza,Italy
Pforzheim,Pforzheim,Germany
Osaki,Osaki,Japan
Jharsugra,Jharsugra,India
Balneario de Camboriu,Balneario de Camboriu,Brazil
Santana de Parnaiba,Santana de Parnaiba,Brazil
Palni,Palni,India
Rosetta,Rosetta,Egypt
Payakumbuh,Payakumbuh,Indonesia
Simi Valley,Simi Valley,United States
Pakokku,Pakokku,Myanmar
Angren,Angren,Uzbekistan
Basirhat,Basirhat,India
Duitama,Duitama,Colombia
Leiria,Leiria,Portugal
Larache,Larache,Morocco
Navadwip,Navadwip,India
Latina,Latina,Italy
Cambridge,Cambridge,United Kingdom
Unye,Unye,Turkey
San Fernando,San Fernando,Philippines
Exeter,Exeter,United Kingdom
Gurabo al Medio,Gurabo al Medio,Dominican Republic
Santa Cruz,Santa Cruz,Philippines
Guntakal,Guntakal,India
Pithampur,Pithampur,India
Iizuka,Iizuka,Japan
Sabara,Sabara,Brazil
Catabola,Catabola,Angola
Suhum,Suhum,Ghana
Bagong Silangan,Bagong Silangan,Philippines
Barbacena,Barbacena,Brazil
Ben Tre,Ben Tre,Vietnam
Halisahar,Halisahar,India
Matamoros,Matamoros,Mexico
Western Bicutan,Western Bicutan,Philippines
Rishra,Rishra,India
Hoima,Hoima,Uganda
Drohobych,Drohobych,Ukraine
Panevezys,Panevezys,Lithuania
Leuwiliang,Leuwiliang,Indonesia
Magelang,Magelang,Indonesia
Jizhou,Jizhou,China
Kampong Cham,Kampong Cham,Cambodia
Gashua,Gashua,Nigeria
Shchelkovo,Shchelkovo,Russia
Dover,Dover,United States
Chinautla,Chinautla,Guatemala
Patan,Patan,India
Novomoskovsk,Novomoskovsk,Russia
Norman,Norman,United States
Cam Ranh,Cam Ranh,Vietnam
Kumbo,Kumbo,Cameroon
Sai Wan Ho,Sai Wan Ho,Hong Kong
Giugliano in Campania,Giugliano in Campania,Italy
Cagua,Cagua,Venezuela
Yuanlin,Yuanlin,Taiwan
Indramayu,Indramayu,Indonesia
Colchester,Colchester,United Kingdom
Gateshead,Gateshead,United Kingdom
Pakxe,Pakxe,Laos
Bonao,Bonao,Dominican Republic
Honcho,Honcho,Japan
Abilene,Abilene,United States
Magalang,Magalang,Philippines
Uruguaiana,Uruguaiana,Brazil
Porlamar,Porlamar,Venezuela
Resende,Resende,Brazil
Daitocho,Daitocho,Japan
Mong Cai,Mong Cai,Vietnam
Sawran,Sawran,Iraq
Leon,Leon,Spain
Sunam,Sunam,India
Central Signal Village,Central Signal Village,Philippines
Polatli,Polatli,Turkey
Jirja,Jirja,Egypt
Fugu,Fugu,China
Jilib,Jilib,Somalia
Az Zulfi,Az Zulfi,Saudi Arabia
Billings,Billings,United States
Leeuwarden,Leeuwarden,Netherlands
Ouahigouya,Ouahigouya,Burkina Faso
Duma,Duma,Syria
Juticalpa,Juticalpa,Honduras
Zhaxi,Zhaxi,China
Gexianzhuang,Gexianzhuang,China
Wolfsburg,Wolfsburg,Germany
Savannakhet,Savannakhet,Laos
Gorzow Wielkopolski,Gorzow Wielkopolski,Poland
Ponce,Ponce,Puerto Rico
Cai Lay,Cai Lay,Vietnam
Gyumri,Gyumri,Armenia
Glazoue,Glazoue,Benin
Pervouralsk,Pervouralsk,Russia
New Mirpur,New Mirpur,Pakistan
Noksan,Noksan,South Korea
San Pedro Garza Garcia,San Pedro Garza Garcia,Mexico
Montreuil,Montreuil,France
Serik,Serik,Turkey
Algeciras,Algeciras,Spain
Pali,Pali,India
Bimbo,Bimbo,Central African Republic
Hoi An,Hoi An,Vietnam
Setubal,Setubal,Portugal
Matsubara,Matsubara,Japan
Baia Mare,Baia Mare,Romania
Kadirli,Kadirli,Turkey
Khrustalnyi,Khrustalnyi,Ukraine
Cherkessk,Cherkessk,Russia
Malindi,Malindi,Kenya
Pobe,Pobe,Benin
Bergamo,Bergamo,Italy
Kirishima,Kirishima,Japan
Gapan,Gapan,Philippines
Magangue,Magangue,Colombia
Jimaguayu,Jimaguayu,Cuba
Debre Tabor,Debre Tabor,Ethiopia
Maicao,Maicao,Colombia
Delgado,Delgado,El Salvador
Uruma,Uruma,Japan
Lehigh Acres,Lehigh Acres,United States
Derbent,Derbent,Russia
Melipilla,Melipilla,Chile
Pati,Pati,Indonesia
Cadiz,Cadiz,Spain
Djidja,Djidja,Benin
Longtian,Longtian,China
St. Cloud,St. Cloud,United States
Nandgaon,Nandgaon,India
Arecibo,Arecibo,Puerto Rico
Munuf,Munuf,Egypt
Punta Arenas,Punta Arenas,Chile
Varginha,Varginha,Brazil
Munch'on,Munch'on,North Korea
Kilifi,Kilifi,Kenya
Bhadrakh,Bhadrakh,India
Zacatecas,Zacatecas,Mexico
Santana,Santana,Brazil
Kaya,Kaya,Burkina Faso
Alberton,Alberton,South Africa
Kenosha,Kenosha,United States
Ise,Ise,Japan
Lianhe,Lianhe,China
Brits,Brits,South Africa
Itatiba,Itatiba,Brazil
Dimapur,Dimapur,India
Ed Damer,Ed Damer,Sudan
Braganca,Braganca,Brazil
Patnos,Patnos,Turkey
Bayawan,Bayawan,Philippines
Greenville,Greenville,United States
Barretos,Barretos,Brazil
Arvada,Arvada,United States
Kahta,Kahta,Turkey
Blackburn,Blackburn,United Kingdom
Machiques,Machiques,Venezuela
Ciudad Hidalgo,Ciudad Hidalgo,Mexico
Slough,Slough,United Kingdom
Pescara,Pescara,Italy
Guelma,Guelma,Algeria
Behbahan,Behbahan,Iran
Pearland,Pearland,United States
Baidyabati,Baidyabati,India
Kotamobagu,Kotamobagu,Indonesia
Mufulira,Mufulira,Zambia
Puerto Cortes,Puerto Cortes,Honduras
Maina,Maina,Guam
Dharmavaram,Dharmavaram,India
Edea,Edea,Cameroon
Honmachi,Honmachi,Japan
Ciudad Ojeda,Ciudad Ojeda,Venezuela
Bento Goncalves,Bento Goncalves,Brazil
Independence,Independence,United States
Fier,Fier,Albania
Kamalia,Kamalia,Pakistan
Ghazipur,Ghazipur,India
Orekhovo-Zuyevo,Orekhovo-Zuyevo,Russia
Texas City,Texas City,United States
Saint-Denis,Saint-Denis,France
Chinandega,Chinandega,Nicaragua
Puruliya,Puruliya,India
Kashiwara,Kashiwara,Japan
Faqus,Faqus,Egypt
Urasoe,Urasoe,Japan
Dorud,Dorud,Iran
Guarapari,Guarapari,Brazil
Hoa Binh,Hoa Binh,Vietnam
Kuopio,Kuopio,Finland
Ribeirao Pires,Ribeirao Pires,Brazil
Ondjiva,Ondjiva,Angola
Port-de-Paix,Port-de-Paix,Haiti
Shuixi,Shuixi,China
Wuling,Wuling,China
Samandag,Samandag,Turkey
Redding,Redding,United States
Tsuruoka,Tsuruoka,Japan
Soreang,Soreang,Indonesia
Ciudad Guzman,Ciudad Guzman,Mexico
Gudiyattam,Gudiyattam,India
Upington,Upington,South Africa
Chon Thanh,Chon Thanh,Vietnam
Dogubayazit,Dogubayazit,Turkey
Metz,Metz,France
Plock,Plock,Poland
Bagaha,Bagaha,India
Gurdaspur,Gurdaspur,India
Tabuk,Tabuk,Philippines
Apartado,Apartado,Colombia
Siracusa,Siracusa,Italy
Apucarana,Apucarana,Brazil
Perpignan,Perpignan,France
Valinhos,Valinhos,Brazil
Chilapa de Alvarez,Chilapa de Alvarez,Mexico
Cachoeirinha,Cachoeirinha,Brazil
Guelmim,Guelmim,Morocco
Navojoa,Navojoa,Mexico
Kot Addu,Kot Addu,Pakistan
Lynchburg,Lynchburg,United States
Zonguldak,Zonguldak,Turkey
Boulder,Boulder,United States
Gottingen,Gottingen,Germany
Unwana,Unwana,Nigeria
Vihiga,Vihiga,Kenya
Catchiungo,Catchiungo,Angola
Barcelos,Barcelos,Portugal
Ilobu,Ilobu,Nigeria
Ky Anh,Ky Anh,Vietnam
Satara,Satara,India
Kallithea,Kallithea,Greece
Tizayuca,Tizayuca,Mexico
Darjeeling,Darjeeling,India
Mohammad Shahr,Mohammad Shahr,Iran
Al Mansurah,Al Mansurah,Yemen
Calumpit,Calumpit,Philippines
Orleans,Orleans,France
Bagalkot,Bagalkot,India
Ebetsu,Ebetsu,Japan
Fujimino,Fujimino,Japan
Dong Hoa,Dong Hoa,Vietnam
Sertaozinho,Sertaozinho,Brazil
Soke,Soke,Turkey
Dordrecht,Dordrecht,Netherlands
Poa,Poa,Brazil
Lalo,Lalo,Benin
Ghardaia,Ghardaia,Algeria
Candaba,Candaba,Philippines
Nokha,Nokha,India
San Carlos,San Carlos,Venezuela
Besancon,Besancon,France
Baraka,Baraka,Congo (Kinshasa)
Ar Rustaq,Ar Rustaq,Oman
Handa,Handa,Japan
Iowa City,Iowa City,United States
Varzea Paulista,Varzea Paulista,Brazil
Adigrat,Adigrat,Ethiopia
Catanduva,Catanduva,Brazil
Nouadhibou,Nouadhibou,Mauritania
Chelmsford,Chelmsford,United Kingdom
Gudivada,Gudivada,India
Yuksekova,Yuksekova,Turkey
Nazarabad,Nazarabad,Iran
Pleven,Pleven,Bulgaria
Rochester,Rochester,United States
An,An,Myanmar
Ajax,Ajax,Canada
Alcobendas,Alcobendas,Spain
Berkeley,Berkeley,United States
Xuqiaocun,Xuqiaocun,China
Dinalupihan,Dinalupihan,Philippines
Dongsheng,Dongsheng,China
Sopur,Sopur,India
Waldorf,Waldorf,United States
Toledo,Toledo,Brazil
Elblag,Elblag,Poland
Nazran,Nazran,Russia
Banco Filipino International Village,Banco Filipino International Village,Philippines
Araucaria,Araucaria,Brazil
Bruges,Bruges,Belgium
Silifke,Silifke,Turkey
Totonicapan,Totonicapan,Guatemala
The Villages,The Villages,United States
Paulo Afonso,Paulo Afonso,Brazil
Guaratingueta,Guaratingueta,Brazil
Huaraz,Huaraz,Peru
Tuz Khurmatu,Tuz Khurmatu,Iraq
Kasuga,Kasuga,Japan
Aw Dheegle,Aw Dheegle,Somalia
Apalit,Apalit,Philippines
Bet Shemesh,Bet Shemesh,Israel
Gabes,Gabes,Tunisia
Bwana Mkubwa,Bwana Mkubwa,Zambia
Charallave,Charallave,Venezuela
Duluth,Duluth,United States
East Los Angeles,East Los Angeles,United States
Cheltenham,Cheltenham,United Kingdom
Nevinnomyssk,Nevinnomyssk,Russia
Lahti,Lahti,Finland
Saginaw,Saginaw,United States
Dimitrovgrad,Dimitrovgrad,Russia
Giyon,Giyon,Ethiopia
Phagwara,Phagwara,India
Trento,Trento,Italy
Ikoma,Ikoma,Japan
Yongqing,Yongqing,China
Pandacan,Pandacan,Philippines
Nowshera,Nowshera,Pakistan
Butwal,Butwal,Nepal
Barcarena Nova,Barcarena Nova,Brazil
Martinez de la Torre,Martinez de la Torre,Mexico
Akishima,Akishima,Japan
Birigui,Birigui,Brazil
Ligao,Ligao,Philippines
Pudukkottai,Pudukkottai,India
Bottrop,Bottrop,Germany
Santa Cruz do Sul,Santa Cruz do Sul,Brazil
Konosu,Konosu,Japan
Clovis,Clovis,United States
Karatepe,Karatepe,Turkey
Votorantim,Votorantim,Brazil
Linkoping,Linkoping,Sweden
Yulu,Yulu,China
Forli,Forli,Italy
Malita,Malita,Philippines
La Asuncion,La Asuncion,Venezuela
Nigde,Nigde,Turkey
Aizuwakamatsu,Aizuwakamatsu,Japan
Ain Beida,Ain Beida,Algeria
Leominster,Leominster,United States
Lomas de Zamora,Lomas de Zamora,Argentina
Bama,Bama,Nigeria
Codo,Codo,Brazil
San Rafael,San Rafael,Argentina
Chimaltenango,Chimaltenango,Guatemala
Petrzalka,Petrzalka,Slovakia
Plaridel,Plaridel,Philippines
Kabwe,Kabwe,Zambia
Tahoua,Tahoua,Niger
Nobeoka,Nobeoka,Japan
Gogounou,Gogounou,Benin
Reutlingen,Reutlingen,Germany
Reutov,Reutov,Russia
Agadez,Agadez,Niger
Uzhhorod,Uzhhorod,Ukraine
Round Rock,Round Rock,United States
Adilabad,Adilabad,India
Luanshya,Luanshya,Zambia
Kapakli,Kapakli,Turkey
Obninsk,Obninsk,Russia
Uribia,Uribia,Colombia
Piedecuesta,Piedecuesta,Colombia
Salman Bak,Salman Bak,Iraq
Tangjin,Tangjin,South Korea
Rouen,Rouen,France
Dabrowa Gornicza,Dabrowa Gornicza,Poland
Guiguinto,Guiguinto,Philippines
Huanren,Huanren,China
Machakos,Machakos,Kenya
Fujimi,Fujimi,Japan
Catacamas,Catacamas,Honduras
Argenteuil,Argenteuil,France
Los Banos,Los Banos,Philippines
San Martin,San Martin,Argentina
Xai-Xai,Xai-Xai,Mozambique
Rochdale,Rochdale,United Kingdom
Banfora,Banfora,Burkina Faso
Orsha,Orsha,Belarus
Walbrzych,Walbrzych,Poland
Langley,Langley,Canada
Narasaraopet,Narasaraopet,India
Temixco,Temixco,Mexico
Heroica Guaymas,Heroica Guaymas,Mexico
Kyzyl,Kyzyl,Russia
Monroe,Monroe,United States
Pollachi,Pollachi,India
Mendoza,Mendoza,Argentina
Nkongsamba,Nkongsamba,Cameroon
Samal,Samal,Philippines
Facatativa,Facatativa,Colombia
Guadalajara de Buga,Guadalajara de Buga,Colombia
Cassongue,Cassongue,Angola
Barnala,Barnala,India
Manpo,Manpo,North Korea
Tandil,Tandil,Argentina
Yavatmal,Yavatmal,India
Beppu,Beppu,Japan
Araguari,Araguari,Brazil
Tatui,Tatui,Brazil
Cambridge,Cambridge,United States
Shibuya,Shibuya,Japan
Sassari,Sassari,Italy
Conselheiro Lafaiete,Conselheiro Lafaiete,Brazil
Bage,Bage,Brazil
Chittaurgarh,Chittaurgarh,India
Berkane,Berkane,Morocco
Buzau,Buzau,Romania
Santander de Quilichao,Santander de Quilichao,Colombia
Helsingborg,Helsingborg,Sweden
Coronel,Coronel,Chile
Kasese,Kasese,Uganda
Clearwater,Clearwater,United States
Dharan,Dharan,Nepal
Lugazi,Lugazi,Uganda
Tarogong,Tarogong,Indonesia
Boke,Boke,Guinea
Smithtown,Smithtown,United States
Himamaylan,Himamaylan,Philippines
San Antonio Enchisi,San Antonio Enchisi,Mexico
Jounie,Jounie,Lebanon
Tecoman,Tecoman,Mexico
Bongao,Bongao,Philippines
Fatsa,Fatsa,Turkey
Phatthaya,Phatthaya,Thailand
Swabi,Swabi,Pakistan
Qiaotou,Qiaotou,China
Khon Kaen,Khon Kaen,Thailand
Karatsu,Karatsu,Japan
Ramenskoye,Ramenskoye,Russia
Ra's al Khaymah,Ra's al Khaymah,United Arab Emirates
Kilis,Kilis,Turkey
Seaside,Seaside,United States
Sandvika,Sandvika,Norway
Adjaouere,Adjaouere,Benin
Itapipoca,Itapipoca,Brazil
Guanabacoa,Guanabacoa,Cuba
West Jordan,West Jordan,United States
Sabha,Sabha,Libya
Shacheng,Shacheng,China
Sayhat,Sayhat,Saudi Arabia
Kars,Kars,Turkey
Valle de La Pascua,Valle de La Pascua,Venezuela
Parachinar,Parachinar,Pakistan
Richardson,Richardson,United States
San Ildefonso,San Ildefonso,Philippines
Kovilpatti,Kovilpatti,India
West Palm Beach,West Palm Beach,United States
Temple,Temple,United States
Nasushiobara,Nasushiobara,Japan
Tokai,Tokai,Japan
Durres,Durres,Albania
Burlington,Burlington,United States
Richmond,Richmond,United States
Turbaco,Turbaco,Colombia
Pedro Juan Caballero,Pedro Juan Caballero,Paraguay
Rawasari,Rawasari,Indonesia
Tres Lagoas,Tres Lagoas,Brazil
Berdiansk,Berdiansk,Ukraine
Westminster,Westminster,United States
Koencho,Koencho,Japan
Mangaldan,Mangaldan,Philippines
Niihama,Niihama,Japan
Pottstown,Pottstown,United States
Bansbaria,Bansbaria,India
Puerto Madryn,Puerto Madryn,Argentina
Brandon,Brandon,United States
Sliven,Sliven,Bulgaria
Yessentuki,Yessentuki,Russia
Rock Hill,Rock Hill,United States
Iriga City,Iriga City,Philippines
Jonkoping,Jonkoping,Sweden
Meridian,Meridian,United States
Sano,Sano,Japan
Ariana,Ariana,Tunisia
Sloviansk,Sloviansk,Ukraine
Koblenz,Koblenz,Germany
Oktyabr'skiy,Oktyabr'skiy,Russia
Al Mudaybi,Al Mudaybi,Oman
Sogamoso,Sogamoso,Colombia
Salto,Salto,Brazil
Zhijiang,Zhijiang,China
Hatsukaichi,Hatsukaichi,Japan
Sakiet ed Daier,Sakiet ed Daier,Tunisia
Coeur d'Alene,Coeur d'Alene,United States
Carlsbad,Carlsbad,United States
Las Delicias,Las Delicias,Mexico
Sach'on,Sach'on,South Korea
Bijeljina,Bijeljina,Bosnia and Herzegovina
Lowell,Lowell,United States
Heshan,Heshan,China
Erlangen,Erlangen,Germany
Bremerhaven,Bremerhaven,Germany
Ciudad de la Costa,Ciudad de la Costa,Uruguay
Waterloo,Waterloo,United States
Kaikkudi,Kaikkudi,India
Bernal,Bernal,Argentina
Kamagaya,Kamagaya,Japan
North Charleston,North Charleston,United States
Alphen aan den Rijn,Alphen aan den Rijn,Netherlands
La Piedad,La Piedad,Mexico
Hammersmith,Hammersmith,United Kingdom
Putatan,Putatan,Philippines
Esteban Echeverria,Esteban Echeverria,Argentina
Ambovombe,Ambovombe,Madagascar
San Juan,San Juan,Philippines
Sakete,Sakete,Benin
Espejo,Espejo,Chile
Gilroy,Gilroy,United States
Bagh-e Malek,Bagh-e Malek,Iran
Rotherham,Rotherham,United Kingdom
Kakegawa,Kakegawa,Japan
Downey,Downey,United States
Ifanhim,Ifanhim,Benin
Gresham,Gresham,United States
Bintulu,Bintulu,Malaysia
Elgin,Elgin,United States
Saanich,Saanich,Canada
Daet,Daet,Philippines
Asela,Asela,Ethiopia
Materi,Materi,Benin
Kusadasi,Kusadasi,Turkey
Kristiansand,Kristiansand,Norway
Pul-e Khumri,Pul-e Khumri,Afghanistan
Recklinghausen,Recklinghausen,Germany
Nagahama,Nagahama,Japan
Tawau,Tawau,Malaysia
Walthamstow,Walthamstow,United Kingdom
Quilengues,Quilengues,Angola
Mulhouse,Mulhouse,France
Mazhang,Mazhang,China
Paarl,Paarl,South Africa
Hofu,Hofu,Japan
Hikone,Hikone,Japan
Iranshahr,Iranshahr,Iran
Maranguape,Maranguape,Brazil
Rosario,Rosario,Philippines
Ndali,Ndali,Benin
Uba,Uba,Brazil
Bukittinggi,Bukittinggi,Indonesia
Caraguatatuba,Caraguatatuba,Brazil
Manolo Fortich,Manolo Fortich,Philippines
Midyat,Midyat,Turkey
Mungo,Mungo,Angola
Arafat,Arafat,Mauritania
Tecpan Guatemala,Tecpan Guatemala,Guatemala
Jendouba,Jendouba,Tunisia
Alkmaar,Alkmaar,Netherlands
Sa-ch'on,Sa-ch'on,South Korea
Hualien,Hualien,Taiwan
Ioannina,Ioannina,Greece
Akcakale,Akcakale,Turkey
Libmanan,Libmanan,Philippines
Bergisch Gladbach,Bergisch Gladbach,Germany
Euriapolis,Euriapolis,Brazil
Osmanabad,Osmanabad,India
Remscheid,Remscheid,Germany
Novyy Urengoy,Novyy Urengoy,Russia
Mostar,Mostar,Bosnia and Herzegovina
Madrid,Madrid,Colombia
Burdur,Burdur,Turkey
La Gi,La Gi,Vietnam
Hosan,Hosan,South Korea
Tayabas,Tayabas,Philippines
Mopti,Mopti,Mali
Sokode,Sokode,Togo
Castelar,Castelar,Argentina
Sahibganj,Sahibganj,India
Khenchela,Khenchela,Algeria
Vicenza,Vicenza,Italy
Balangir,Balangir,India
Utica,Utica,United States
San Carlos de Bariloche,San Carlos de Bariloche,Argentina
